sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN34079209,SRR24076187,missing,,,USA,PNUSAE131721,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33749801,SRR23853738,missing,,,USA,PNUSAE129550,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33749840,SRR23854597,missing,,,missing,PNUSAE129555,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33758393,SRR23859680,missing,,,missing,PNUSAE129736,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33758384,SRR23859682,missing,,,missing,PNUSAE129727,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34081581,SRR24082014,missing,,,USA,PNUSAE131623,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33780640,SRR23877707,missing,,,missing,PNUSAE129925,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33783125,SRR23882105,missing,,,USA,PNUSAE129948,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33798204,SRR23891328,missing,,,USA,PNUSAE130057,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33798876,SRR23891998,missing,,,USA,PNUSAE130123,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33798817,SRR23892806,missing,,,USA,PNUSAE130097,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34102303,SRR24097569,missing,,,missing,PNUSAE131785,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34102301,SRR24097570,missing,,,missing,PNUSAE131784,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34104432,SRR24099503,2023,2023-01-01,2023-12-31,USA,PNUSAE131858,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34115227,SRR24106009,missing,,,USA,PNUSAE131911,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34115225,SRR24106020,missing,,,USA,PNUSAE131908,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34115809,SRR24107172,missing,,,USA,PNUSAE131920,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN35410728,SRR24744647,2023,2023-01-01,2023-12-31,missing,PNUSAE137119,missing,ILLUMINA,NextSeq 550,WGS
